image_filename,image_filepath,label,width,height,file_size
PrivateTest_10131363.jpg,./fer2013/test/angry/PrivateTest_10131363.jpg,angry,48,48,1722
PrivateTest_10304478.jpg,./fer2013/test/angry/PrivateTest_10304478.jpg,angry,48,48,1686
PrivateTest_1054527.jpg,./fer2013/test/angry/PrivateTest_1054527.jpg,angry,48,48,1257
PrivateTest_10590091.jpg,./fer2013/test/angry/PrivateTest_10590091.jpg,angry,48,48,1642
PrivateTest_1109992.jpg,./fer2013/test/angry/PrivateTest_1109992.jpg,angry,48,48,1804
PrivateTest_11296953.jpg,./fer2013/test/angry/PrivateTest_11296953.jpg,angry,48,48,2010
PrivateTest_12000629.jpg,./fer2013/test/angry/PrivateTest_12000629.jpg,angry,48,48,1595
PrivateTest_12008383.jpg,./fer2013/test/angry/PrivateTest_12008383.jpg,angry,48,48,1829
PrivateTest_12191716.jpg,./fer2013/test/angry/PrivateTest_12191716.jpg,angry,48,48,1603
PrivateTest_1221822.jpg,./fer2013/test/angry/PrivateTest_1221822.jpg,angry,48,48,1566
PrivateTest_12403575.jpg,./fer2013/test/angry/PrivateTest_12403575.jpg,angry,48,48,1686
PrivateTest_12766285.jpg,./fer2013/test/angry/PrivateTest_12766285.jpg,angry,48,48,1577
PrivateTest_12846357.jpg,./fer2013/test/angry/PrivateTest_12846357.jpg,angry,48,48,1503
PrivateTest_1290484.jpg,./fer2013/test/angry/PrivateTest_1290484.jpg,angry,48,48,1608
PrivateTest_12912780.jpg,./fer2013/test/angry/PrivateTest_12912780.jpg,angry,48,48,1612
PrivateTest_13164119.jpg,./fer2013/test/angry/PrivateTest_13164119.jpg,angry,48,48,1622
PrivateTest_13278552.jpg,./fer2013/test/angry/PrivateTest_13278552.jpg,angry,48,48,1658
PrivateTest_13463625.jpg,./fer2013/test/angry/PrivateTest_13463625.jpg,angry,48,48,1240
PrivateTest_13541561.jpg,./fer2013/test/angry/PrivateTest_13541561.jpg,angry,48,48,1430
PrivateTest_13664224.jpg,./fer2013/test/angry/PrivateTest_13664224.jpg,angry,48,48,1591
PrivateTest_14325168.jpg,./fer2013/test/angry/PrivateTest_14325168.jpg,angry,48,48,1739
PrivateTest_14426977.jpg,./fer2013/test/angry/PrivateTest_14426977.jpg,angry,48,48,1525
PrivateTest_14433751.jpg,./fer2013/test/angry/PrivateTest_14433751.jpg,angry,48,48,1462
PrivateTest_14444117.jpg,./fer2013/test/angry/PrivateTest_14444117.jpg,angry,48,48,1654
PrivateTest_14482875.jpg,./fer2013/test/angry/PrivateTest_14482875.jpg,angry,48,48,1688
PrivateTest_14494003.jpg,./fer2013/test/angry/PrivateTest_14494003.jpg,angry,48,48,1514
PrivateTest_14565821.jpg,./fer2013/test/angry/PrivateTest_14565821.jpg,angry,48,48,1718
PrivateTest_14596578.jpg,./fer2013/test/angry/PrivateTest_14596578.jpg,angry,48,48,1711
PrivateTest_14740105.jpg,./fer2013/test/angry/PrivateTest_14740105.jpg,angry,48,48,1717
PrivateTest_14769246.jpg,./fer2013/test/angry/PrivateTest_14769246.jpg,angry,48,48,1653
PrivateTest_1488292.jpg,./fer2013/test/angry/PrivateTest_1488292.jpg,angry,48,48,1551
PrivateTest_14887556.jpg,./fer2013/test/angry/PrivateTest_14887556.jpg,angry,48,48,1397
PrivateTest_15489614.jpg,./fer2013/test/angry/PrivateTest_15489614.jpg,angry,48,48,1296
PrivateTest_15827448.jpg,./fer2013/test/angry/PrivateTest_15827448.jpg,angry,48,48,1408
PrivateTest_15855670.jpg,./fer2013/test/angry/PrivateTest_15855670.jpg,angry,48,48,1636
PrivateTest_1623042.jpg,./fer2013/test/angry/PrivateTest_1623042.jpg,angry,48,48,1582
PrivateTest_16345756.jpg,./fer2013/test/angry/PrivateTest_16345756.jpg,angry,48,48,1491
PrivateTest_16834914.jpg,./fer2013/test/angry/PrivateTest_16834914.jpg,angry,48,48,1624
PrivateTest_17503955.jpg,./fer2013/test/angry/PrivateTest_17503955.jpg,angry,48,48,1463
PrivateTest_17952984.jpg,./fer2013/test/angry/PrivateTest_17952984.jpg,angry,48,48,2295
PrivateTest_1809180.jpg,./fer2013/test/angry/PrivateTest_1809180.jpg,angry,48,48,1489
PrivateTest_18151590.jpg,./fer2013/test/angry/PrivateTest_18151590.jpg,angry,48,48,1599
PrivateTest_18347688.jpg,./fer2013/test/angry/PrivateTest_18347688.jpg,angry,48,48,1520
PrivateTest_1850005.jpg,./fer2013/test/angry/PrivateTest_1850005.jpg,angry,48,48,1895
PrivateTest_1862370.jpg,./fer2013/test/angry/PrivateTest_1862370.jpg,angry,48,48,1680
PrivateTest_19041965.jpg,./fer2013/test/angry/PrivateTest_19041965.jpg,angry,48,48,1807
PrivateTest_19160467.jpg,./fer2013/test/angry/PrivateTest_19160467.jpg,angry,48,48,1529
PrivateTest_19212977.jpg,./fer2013/test/angry/PrivateTest_19212977.jpg,angry,48,48,1397
PrivateTest_19666123.jpg,./fer2013/test/angry/PrivateTest_19666123.jpg,angry,48,48,1358
PrivateTest_19777137.jpg,./fer2013/test/angry/PrivateTest_19777137.jpg,angry,48,48,1800
PrivateTest_19839459.jpg,./fer2013/test/angry/PrivateTest_19839459.jpg,angry,48,48,1479
PrivateTest_19907331.jpg,./fer2013/test/angry/PrivateTest_19907331.jpg,angry,48,48,1417
PrivateTest_20062601.jpg,./fer2013/test/angry/PrivateTest_20062601.jpg,angry,48,48,1745
PrivateTest_20304950.jpg,./fer2013/test/angry/PrivateTest_20304950.jpg,angry,48,48,1332
PrivateTest_20306434.jpg,./fer2013/test/angry/PrivateTest_20306434.jpg,angry,48,48,1608
PrivateTest_20431702.jpg,./fer2013/test/angry/PrivateTest_20431702.jpg,angry,48,48,1832
PrivateTest_20571365.jpg,./fer2013/test/angry/PrivateTest_20571365.jpg,angry,48,48,1584
PrivateTest_20588149.jpg,./fer2013/test/angry/PrivateTest_20588149.jpg,angry,48,48,1618
PrivateTest_20789399.jpg,./fer2013/test/angry/PrivateTest_20789399.jpg,angry,48,48,1786
PrivateTest_20887918.jpg,./fer2013/test/angry/PrivateTest_20887918.jpg,angry,48,48,1532
PrivateTest_20953901.jpg,./fer2013/test/angry/PrivateTest_20953901.jpg,angry,48,48,1354
PrivateTest_21042434.jpg,./fer2013/test/angry/PrivateTest_21042434.jpg,angry,48,48,1561
PrivateTest_21230097.jpg,./fer2013/test/angry/PrivateTest_21230097.jpg,angry,48,48,1517
